Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
AMAR3,"1,01","32,23","1,76","0,347","0,00%","0,243","-1,96","2,94","-0,43","7,50","3,84","11,80%","1,08%","0,70","10,10%","5,45%","289.525,00","295.428.000,00","2,90","-16,99%"
MOSI3,"8,24","32,29","1,56","4,761","0,00%","1,453","1,89","89,69","1,90","42,98","24,91","5,31%","14,75%","13,30","8,12%","4,82%","0,00","670.337.000,00","0,00","0,00%"
BRGE6,"12,92","32,46","0,72","267,653","4,36%","0,318","0,83","-1,36","1,62","0,92","0,94","-19.636,90%","1.381,29%","3,06","-50,03%","2,21%","0,00","1.324.180.000,00","0,00","-45,61%"
CREM3,"14,50","32,69","2,45","0,685","0,00%","0,670","4,89","8,52","-5,41","12,04","7,07","8,05%","2,10%","1,29","11,36%","7,50%","0,00","189.701.000,00","1,58","-0,27%"
RPAD5,"6,23","32,79","0,52","0,000","9,93%","0,518","4,16","-290,35","4,40","-218,88","-218,88","0,00%","0,00%","20,16","-0,20%","1,60%","411,98","1.005.490.000,00","0,00","0,00%"
BRGE7,"13,07","32,83","0,73","270,760","2,51%","0,322","0,84","-1,38","1,63","0,90","0,92","-19.636,90%","1.381,29%","3,06","-50,03%","2,21%","0,00","1.324.180.000,00","0,00","-45,61%"
TSEP3,"40,00","33,05","1,79","1,768","0,00%","1,250","5,24","20,44","6,11","17,91","17,91","8,65%","5,35%","1,88","9,10%","5,43%","0,00","2.047.020.000,00","0,00","4,50%"
BRGE8,"13,17","33,08","0,73","272,832","1,78%","0,324","0,85","-1,39","1,65","0,89","0,91","-19.636,90%","1.381,29%","3,06","-50,03%","2,21%","0,00","1.324.180.000,00","0,00","-45,61%"
BRGE5,"13,18","33,11","0,73","273,039","0,00%","0,325","0,85","-1,39","1,65","0,89","0,91","-19.636,90%","1.381,29%","3,06","-50,03%","2,21%","0,00","1.324.180.000,00","0,00","-45,61%"
BRGE11,"13,18","33,11","0,73","273,039","2,14%","0,325","0,85","-1,39","1,65","0,89","0,91","-19.636,90%","1.381,29%","3,06","-50,03%","2,21%","0,00","1.324.180.000,00","0,00","-45,61%"
